,index,name,image_url,rating,artist,movement,description
77,102,Slave Auction or Slave Market in Rome,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jean-L%C3%A9on+G%C3%A9r%C3%B4me/Slave+Auction+or+Slave+Market+in+Rome.jpg,10.0,Jean-Léon Gérôme,Academism,"Academic art, or academicism or academism, is a style of painting and sculpture produced under the influence of European academies of art. Specifically, academic art is the art and artists influenced by the standards of the French Académie des Beaux-Arts, which was practiced under the movements of Neoclassicism and Romanticism, and the art that followed these two movements in the attempt to synthesize both of their styles, and which is best reflected by the paintings of William-Adolphe Bouguereau, Thomas Couture, and Hans Makart. In this context it is often called ""academism,"" ""academicism,"" ""art pompier"" (pejoratively), and ""eclecticism,"" and sometimes linked with ""historicism"" and ""syncretism."" Academic art is closely related to Beaux-Arts architecture, which developed in the same place and holds to a similar classicizing ideal.
"
78,103,Slave Auction or Slave Market in Rome,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jean-L%C3%A9on+G%C3%A9r%C3%B4me/Slave+Auction+or+Slave+Market+in+Rome.jpg,10.0,Jean-Léon Gérôme,Orientalism,"In art history, literature and cultural studies, Orientalism is the imitation or depiction of aspects in the Eastern world. These depictions are usually done by writers, designers, and artists from the Western world. In particular, Orientalist painting, depicting more specifically the Middle East,[1] was one of the many specialisms of 19th-century academic art, and the literature of Western countries took a similar interest in Oriental themes.

Since the publication of Edward Said's Orientalism in 1978, much academic discourse has begun to use the term ""Orientalism"" to refer to a general patronizing Western attitude towards Middle Eastern, Asian, and North African societies. In Said's analysis, the West essentializes these societies as static and undeveloped—thereby fabricating a view of Oriental culture that can be studied, depicted, and reproduced in the service of imperial power. Implicit in this fabrication, writes Said, is the idea that Western society is developed, rational, flexible, and superior.[2] This allows Western imagination to see ""Eastern"" cultures and people as both alluring and a threat to Western civilization."
79,104,Arabs Crossing The Desert,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jean-L%C3%A9on+G%C3%A9r%C3%B4me/Arabs+Crossing+The+Desert.jpg,10.0,Jean-Léon Gérôme,Academism,"Academic art, or academicism or academism, is a style of painting and sculpture produced under the influence of European academies of art. Specifically, academic art is the art and artists influenced by the standards of the French Académie des Beaux-Arts, which was practiced under the movements of Neoclassicism and Romanticism, and the art that followed these two movements in the attempt to synthesize both of their styles, and which is best reflected by the paintings of William-Adolphe Bouguereau, Thomas Couture, and Hans Makart. In this context it is often called ""academism,"" ""academicism,"" ""art pompier"" (pejoratively), and ""eclecticism,"" and sometimes linked with ""historicism"" and ""syncretism."" Academic art is closely related to Beaux-Arts architecture, which developed in the same place and holds to a similar classicizing ideal.
"
80,105,Arabs Crossing The Desert,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jean-L%C3%A9on+G%C3%A9r%C3%B4me/Arabs+Crossing+The+Desert.jpg,10.0,Jean-Léon Gérôme,Orientalism,"In art history, literature and cultural studies, Orientalism is the imitation or depiction of aspects in the Eastern world. These depictions are usually done by writers, designers, and artists from the Western world. In particular, Orientalist painting, depicting more specifically the Middle East,[1] was one of the many specialisms of 19th-century academic art, and the literature of Western countries took a similar interest in Oriental themes.

Since the publication of Edward Said's Orientalism in 1978, much academic discourse has begun to use the term ""Orientalism"" to refer to a general patronizing Western attitude towards Middle Eastern, Asian, and North African societies. In Said's analysis, the West essentializes these societies as static and undeveloped—thereby fabricating a view of Oriental culture that can be studied, depicted, and reproduced in the service of imperial power. Implicit in this fabrication, writes Said, is the idea that Western society is developed, rational, flexible, and superior.[2] This allows Western imagination to see ""Eastern"" cultures and people as both alluring and a threat to Western civilization."
91,116,A Chat By The Fireside,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jean-L%C3%A9on+G%C3%A9r%C3%B4me/A+Chat+By+The+Fireside.jpg,10.0,Jean-Léon Gérôme,Academism,"Academic art, or academicism or academism, is a style of painting and sculpture produced under the influence of European academies of art. Specifically, academic art is the art and artists influenced by the standards of the French Académie des Beaux-Arts, which was practiced under the movements of Neoclassicism and Romanticism, and the art that followed these two movements in the attempt to synthesize both of their styles, and which is best reflected by the paintings of William-Adolphe Bouguereau, Thomas Couture, and Hans Makart. In this context it is often called ""academism,"" ""academicism,"" ""art pompier"" (pejoratively), and ""eclecticism,"" and sometimes linked with ""historicism"" and ""syncretism."" Academic art is closely related to Beaux-Arts architecture, which developed in the same place and holds to a similar classicizing ideal.
"
92,117,A Chat By The Fireside,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jean-L%C3%A9on+G%C3%A9r%C3%B4me/A+Chat+By+The+Fireside.jpg,10.0,Jean-Léon Gérôme,Orientalism,"In art history, literature and cultural studies, Orientalism is the imitation or depiction of aspects in the Eastern world. These depictions are usually done by writers, designers, and artists from the Western world. In particular, Orientalist painting, depicting more specifically the Middle East,[1] was one of the many specialisms of 19th-century academic art, and the literature of Western countries took a similar interest in Oriental themes.

Since the publication of Edward Said's Orientalism in 1978, much academic discourse has begun to use the term ""Orientalism"" to refer to a general patronizing Western attitude towards Middle Eastern, Asian, and North African societies. In Said's analysis, the West essentializes these societies as static and undeveloped—thereby fabricating a view of Oriental culture that can be studied, depicted, and reproduced in the service of imperial power. Implicit in this fabrication, writes Said, is the idea that Western society is developed, rational, flexible, and superior.[2] This allows Western imagination to see ""Eastern"" cultures and people as both alluring and a threat to Western civilization."
93,118,Nude Woman,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jean-L%C3%A9on+G%C3%A9r%C3%B4me/Nude+Woman.jpg,10.0,Jean-Léon Gérôme,Academism,"Academic art, or academicism or academism, is a style of painting and sculpture produced under the influence of European academies of art. Specifically, academic art is the art and artists influenced by the standards of the French Académie des Beaux-Arts, which was practiced under the movements of Neoclassicism and Romanticism, and the art that followed these two movements in the attempt to synthesize both of their styles, and which is best reflected by the paintings of William-Adolphe Bouguereau, Thomas Couture, and Hans Makart. In this context it is often called ""academism,"" ""academicism,"" ""art pompier"" (pejoratively), and ""eclecticism,"" and sometimes linked with ""historicism"" and ""syncretism."" Academic art is closely related to Beaux-Arts architecture, which developed in the same place and holds to a similar classicizing ideal.
"
94,119,Nude Woman,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jean-L%C3%A9on+G%C3%A9r%C3%B4me/Nude+Woman.jpg,10.0,Jean-Léon Gérôme,Orientalism,"In art history, literature and cultural studies, Orientalism is the imitation or depiction of aspects in the Eastern world. These depictions are usually done by writers, designers, and artists from the Western world. In particular, Orientalist painting, depicting more specifically the Middle East,[1] was one of the many specialisms of 19th-century academic art, and the literature of Western countries took a similar interest in Oriental themes.

Since the publication of Edward Said's Orientalism in 1978, much academic discourse has begun to use the term ""Orientalism"" to refer to a general patronizing Western attitude towards Middle Eastern, Asian, and North African societies. In Said's analysis, the West essentializes these societies as static and undeveloped—thereby fabricating a view of Oriental culture that can be studied, depicted, and reproduced in the service of imperial power. Implicit in this fabrication, writes Said, is the idea that Western society is developed, rational, flexible, and superior.[2] This allows Western imagination to see ""Eastern"" cultures and people as both alluring and a threat to Western civilization."
95,120,The Reception for Prince Conde at Versailles,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jean-L%C3%A9on+G%C3%A9r%C3%B4me/The+Reception+for+Prince+Conde+at+Versailles.jpg,10.0,Jean-Léon Gérôme,Academism,"Academic art, or academicism or academism, is a style of painting and sculpture produced under the influence of European academies of art. Specifically, academic art is the art and artists influenced by the standards of the French Académie des Beaux-Arts, which was practiced under the movements of Neoclassicism and Romanticism, and the art that followed these two movements in the attempt to synthesize both of their styles, and which is best reflected by the paintings of William-Adolphe Bouguereau, Thomas Couture, and Hans Makart. In this context it is often called ""academism,"" ""academicism,"" ""art pompier"" (pejoratively), and ""eclecticism,"" and sometimes linked with ""historicism"" and ""syncretism."" Academic art is closely related to Beaux-Arts architecture, which developed in the same place and holds to a similar classicizing ideal.
"
96,121,The Reception for Prince Conde at Versailles,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jean-L%C3%A9on+G%C3%A9r%C3%B4me/The+Reception+for+Prince+Conde+at+Versailles.jpg,10.0,Jean-Léon Gérôme,Orientalism,"In art history, literature and cultural studies, Orientalism is the imitation or depiction of aspects in the Eastern world. These depictions are usually done by writers, designers, and artists from the Western world. In particular, Orientalist painting, depicting more specifically the Middle East,[1] was one of the many specialisms of 19th-century academic art, and the literature of Western countries took a similar interest in Oriental themes.

Since the publication of Edward Said's Orientalism in 1978, much academic discourse has begun to use the term ""Orientalism"" to refer to a general patronizing Western attitude towards Middle Eastern, Asian, and North African societies. In Said's analysis, the West essentializes these societies as static and undeveloped—thereby fabricating a view of Oriental culture that can be studied, depicted, and reproduced in the service of imperial power. Implicit in this fabrication, writes Said, is the idea that Western society is developed, rational, flexible, and superior.[2] This allows Western imagination to see ""Eastern"" cultures and people as both alluring and a threat to Western civilization."
125,176,The Return of the Prodigal Son (detail -4) c. 1669,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Rembrandt+Van+Rijn/The+Return+of+the+Prodigal+Son+(detail+-4)+c.+1669.jpg,10.0,Rembrandt Van Rijn,Baroque,"The Baroque (UK: /bəˈrɒk/, US: /bəˈroʊk/; French: [baʁɔk]) is a style of architecture, music, dance, painting, sculpture, poetry, and other arts that flourished in Europe from the early 17th century until the 1750s.[1] In the territories of the Spanish and Portuguese empires including the Iberian Peninsula it continued, together with new styles, until the first decade of the 19th century. It followed Renaissance art and Mannerism and preceded the Rococo (in the past often referred to as ""late Baroque"") and Neoclassical styles. It was encouraged by the Catholic Church as a means to counter the simplicity and austerity of Protestant architecture, art, and music, though Lutheran Baroque art developed in parts of Europe as well.[2]

The Baroque style used contrast, movement, exuberant detail, deep colour, grandeur, and surprise to achieve a sense of awe. The style began at the start of the 17th century in Rome, then spread rapidly to France, northern Italy, Spain, and Portugal, then to Austria, southern Germany, and Russia. By the 1730s, it had evolved into an even more flamboyant style, called rocaille or Rococo, which appeared in France and Central Europe until the mid to late 18th century.

In the decorative arts, the style employs plentiful and intricate ornamentation. The departure from Renaissance classicism has its own ways in each country. But a general feature is that everywhere the starting point is the ornamental elements introduced by the Renaissance. The classical repertoire is crowded, dense, overlapping, loaded, in order to provoke shock effects. New motifs introduced by Baroque are: the cartouche, trophies and weapons, baskets of fruit or flowers, and others, made in marquetry, stucco, or carved."
126,178,A Girl at a Window,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Rembrandt+Van+Rijn/A+Girl+at+a+Window.jpg,10.0,Rembrandt Van Rijn,Baroque,"The Baroque (UK: /bəˈrɒk/, US: /bəˈroʊk/; French: [baʁɔk]) is a style of architecture, music, dance, painting, sculpture, poetry, and other arts that flourished in Europe from the early 17th century until the 1750s.[1] In the territories of the Spanish and Portuguese empires including the Iberian Peninsula it continued, together with new styles, until the first decade of the 19th century. It followed Renaissance art and Mannerism and preceded the Rococo (in the past often referred to as ""late Baroque"") and Neoclassical styles. It was encouraged by the Catholic Church as a means to counter the simplicity and austerity of Protestant architecture, art, and music, though Lutheran Baroque art developed in parts of Europe as well.[2]

The Baroque style used contrast, movement, exuberant detail, deep colour, grandeur, and surprise to achieve a sense of awe. The style began at the start of the 17th century in Rome, then spread rapidly to France, northern Italy, Spain, and Portugal, then to Austria, southern Germany, and Russia. By the 1730s, it had evolved into an even more flamboyant style, called rocaille or Rococo, which appeared in France and Central Europe until the mid to late 18th century.

In the decorative arts, the style employs plentiful and intricate ornamentation. The departure from Renaissance classicism has its own ways in each country. But a general feature is that everywhere the starting point is the ornamental elements introduced by the Renaissance. The classical repertoire is crowded, dense, overlapping, loaded, in order to provoke shock effects. New motifs introduced by Baroque are: the cartouche, trophies and weapons, baskets of fruit or flowers, and others, made in marquetry, stucco, or carved."
128,182,Anatomy Lesson of Dr Tulp,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Rembrandt+Van+Rijn/Anatomy+Lesson+of+Dr+Tulp.jpg,10.0,Rembrandt Van Rijn,Baroque,"The Baroque (UK: /bəˈrɒk/, US: /bəˈroʊk/; French: [baʁɔk]) is a style of architecture, music, dance, painting, sculpture, poetry, and other arts that flourished in Europe from the early 17th century until the 1750s.[1] In the territories of the Spanish and Portuguese empires including the Iberian Peninsula it continued, together with new styles, until the first decade of the 19th century. It followed Renaissance art and Mannerism and preceded the Rococo (in the past often referred to as ""late Baroque"") and Neoclassical styles. It was encouraged by the Catholic Church as a means to counter the simplicity and austerity of Protestant architecture, art, and music, though Lutheran Baroque art developed in parts of Europe as well.[2]

The Baroque style used contrast, movement, exuberant detail, deep colour, grandeur, and surprise to achieve a sense of awe. The style began at the start of the 17th century in Rome, then spread rapidly to France, northern Italy, Spain, and Portugal, then to Austria, southern Germany, and Russia. By the 1730s, it had evolved into an even more flamboyant style, called rocaille or Rococo, which appeared in France and Central Europe until the mid to late 18th century.

In the decorative arts, the style employs plentiful and intricate ornamentation. The departure from Renaissance classicism has its own ways in each country. But a general feature is that everywhere the starting point is the ornamental elements introduced by the Renaissance. The classical repertoire is crowded, dense, overlapping, loaded, in order to provoke shock effects. New motifs introduced by Baroque are: the cartouche, trophies and weapons, baskets of fruit or flowers, and others, made in marquetry, stucco, or carved."
132,190,Man in a Golden Helmet c. 1650,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Rembrandt+Van+Rijn/Man+in+a+Golden+Helmet+c.+1650.jpg,10.0,Rembrandt Van Rijn,Baroque,"The Baroque (UK: /bəˈrɒk/, US: /bəˈroʊk/; French: [baʁɔk]) is a style of architecture, music, dance, painting, sculpture, poetry, and other arts that flourished in Europe from the early 17th century until the 1750s.[1] In the territories of the Spanish and Portuguese empires including the Iberian Peninsula it continued, together with new styles, until the first decade of the 19th century. It followed Renaissance art and Mannerism and preceded the Rococo (in the past often referred to as ""late Baroque"") and Neoclassical styles. It was encouraged by the Catholic Church as a means to counter the simplicity and austerity of Protestant architecture, art, and music, though Lutheran Baroque art developed in parts of Europe as well.[2]

The Baroque style used contrast, movement, exuberant detail, deep colour, grandeur, and surprise to achieve a sense of awe. The style began at the start of the 17th century in Rome, then spread rapidly to France, northern Italy, Spain, and Portugal, then to Austria, southern Germany, and Russia. By the 1730s, it had evolved into an even more flamboyant style, called rocaille or Rococo, which appeared in France and Central Europe until the mid to late 18th century.

In the decorative arts, the style employs plentiful and intricate ornamentation. The departure from Renaissance classicism has its own ways in each country. But a general feature is that everywhere the starting point is the ornamental elements introduced by the Renaissance. The classical repertoire is crowded, dense, overlapping, loaded, in order to provoke shock effects. New motifs introduced by Baroque are: the cartouche, trophies and weapons, baskets of fruit or flowers, and others, made in marquetry, stucco, or carved."
136,198,Aristotle with a Bust of Homer 1653,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Rembrandt+Van+Rijn/Aristotle+with+a+Bust+of+Homer+1653.jpg,10.0,Rembrandt Van Rijn,Baroque,"The Baroque (UK: /bəˈrɒk/, US: /bəˈroʊk/; French: [baʁɔk]) is a style of architecture, music, dance, painting, sculpture, poetry, and other arts that flourished in Europe from the early 17th century until the 1750s.[1] In the territories of the Spanish and Portuguese empires including the Iberian Peninsula it continued, together with new styles, until the first decade of the 19th century. It followed Renaissance art and Mannerism and preceded the Rococo (in the past often referred to as ""late Baroque"") and Neoclassical styles. It was encouraged by the Catholic Church as a means to counter the simplicity and austerity of Protestant architecture, art, and music, though Lutheran Baroque art developed in parts of Europe as well.[2]

The Baroque style used contrast, movement, exuberant detail, deep colour, grandeur, and surprise to achieve a sense of awe. The style began at the start of the 17th century in Rome, then spread rapidly to France, northern Italy, Spain, and Portugal, then to Austria, southern Germany, and Russia. By the 1730s, it had evolved into an even more flamboyant style, called rocaille or Rococo, which appeared in France and Central Europe until the mid to late 18th century.

In the decorative arts, the style employs plentiful and intricate ornamentation. The departure from Renaissance classicism has its own ways in each country. But a general feature is that everywhere the starting point is the ornamental elements introduced by the Renaissance. The classical repertoire is crowded, dense, overlapping, loaded, in order to provoke shock effects. New motifs introduced by Baroque are: the cartouche, trophies and weapons, baskets of fruit or flowers, and others, made in marquetry, stucco, or carved."
150,250,The Kiss,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Gustav+Klimt/The+Kiss.jpg,10.0,Gustav Klimt,Symbolism,"Symbolism was a late 19th-century art movement of French and Belgian origin in poetry and other arts seeking to represent absolute truths symbolically through language and metaphorical images, mainly as a reaction against naturalism and realism.

In literature, the style originates with the 1857 publication of Charles Baudelaire's Les Fleurs du mal. The works of Edgar Allan Poe, which Baudelaire admired greatly and translated into French, were a significant influence and the source of many stock tropes and images. The aesthetic was developed by Stéphane Mallarmé and Paul Verlaine during the 1860s and 1870s. In the 1880s, the aesthetic was articulated by a series of manifestos and attracted a generation of writers. The term ""symbolist"" was first applied by the critic Jean Moréas, who invented the term to distinguish the Symbolists from the related Decadents of literature and of art."
